text,page,path,bounds,font_size
26'129,4,//Document/Table[6]/TR[22]/TD/P,"[231.83999633789062, 204.3040008544922, 256.3082580566406, 231.1840057373047]",8.0
0.13%,4,//Document/Table[6]/TR[22]/TD[2]/P,"[274.55999755859375, 204.3679962158203, 297.96929931640625, 231.2480010986328]",8.0
0.13%,4,//Document/Table[6]/TR[22]/TD[3]/P,"[334.78399658203125, 204.31199645996094, 357.62725830078125, 231.19200134277344]",8.0
Hedge Funds & Private Equity,4,//Document/Table[6]/TR[23]/TH/P,"[36.24000549316406, 202.9199981689453, 139.55613708496094, 210.6199951171875]",8.0
26'129,4,//Document/Table[6]/TR[23]/TD/P,"[232.0800018310547, 202.97999572753906, 256.5011444091797, 210.6199951171875]",8.0
0.13%,4,//Document/Table[6]/TR[23]/TD[2]/P,"[274.32000732421875, 202.9239959716797, 297.72198486328125, 210.56399536132812]",8.0
0.13%,4,//Document/Table[6]/TR[23]/TD[3]/P,"[334.55999755859375, 202.9199981689453, 357.60162353515625, 210.55999755859375]",8.0
Alternative UCITS,4,//Document/Table[6]/TR[24]/TH/P,"[35.75999450683594, 191.88400268554688, 98.53755187988281, 199.5240020751953]",8.0
Commodity funds,4,//Document/Table[6]/TR[25]/TH/P,"[36.264007568359375, 180.95599365234375, 96.86430358886719, 188.5959930419922]",8.0
Options,4,//Document/Table[6]/TR[26]/TH/P,"[35.76800537109375, 170.11599731445312, 64.46441650390625, 177.75599670410156]",8.0
Total assets,4,//Document/Table[6]/TR[27]/TH/P,"[35.75999450683594, 141.38800048828125, 81.66847229003906, 168.26800537109375]",8.0
19'452'528,4,//Document/Table[6]/TR[27]/TD/P,"[217.47999572753906, 142.00399780273438, 257.03663635253906, 168.88400268554688]",8.0
100.00%,4,//Document/Table[6]/TR[27]/TD[2]/P,"[266.3999938964844, 142.0760040283203, 298.2989196777344, 168.95599365234375]",8.0
99.87%,4,//Document/Table[6]/TR[27]/TD[3]/P,"[330.24000549316406, 141.72000122070312, 357.90089416503906, 168.60000610351562]",8.0
0.13%,4,//Document/Table[6]/TR[27]/TD[4]/P,"[375.8399963378906, 141.78399658203125, 399.2627258300781, 168.66400146484375]",8.0
"C!..=fflt\tilt!tl441f.i•HMfJ_1f_f_:f_,1_t_1!_1t_:f_l1_E_f,",5,//Document/Table[7]/TR/TH/Figure,"[0.0, 0.0, 792.0, 612.0]",13.0
_ A,5,//Document/Table[7]/TR/TH[2]/P,"[523.9199981689453, 463.00250244140625, 583.9759063720703, 484.9199981689453]",8.0
-in % Ł,5,//Document/Table[7]/TR/TH[3]/P,"[593.0399932861328, 465.8249053955078, 738.0699768066406, 487.32090759277344]",8.0
Value as of 31.12.2024,5,//Document/Table[7]/TR[2]/TH/P,"[35.75999450683594, 453.8240051269531, 115.88664245605469, 470.2799987792969]",8.0
19'172'732,5,//Document/Table[7]/TR[2]/TD/P,"[544.3200073242188, 453.7640075683594, 582.7555541992188, 470.2200012207031]",8.0
Value as of 30.05.2025,5,//Document/Table[7]/TR[3]/TH/P,"[35.75999450683594, 431.41600036621094, 117.58256530761719, 458.29600524902344]",8.0
19'452'528,5,//Document/Table[7]/TR[3]/TD/P,"[543.3600006103516, 431.41200256347656, 582.6196441650391, 458.29200744628906]",8.0
Inflows/Outflows,5,//Document/Table[7]/TR[4]/TH/P,"[36.0, 415.6719970703125, 98.6715087890625, 442.552001953125]",8.0
0,5,//Document/Table[7]/TR[4]/TD/P,"[576.0, 415.6959991455078, 581.7096862792969, 442.5760040283203]",8.0
Money In,5,//Document/Table[7]/TR[5]/TH/P,"[36.24000549316406, 413.01600646972656, 69.16067504882812, 429.4720001220703]",8.0
0,5,//Document/Table[7]/TR[5]/TD/P,"[576.0, 413.0240020751953, 581.6717681884766, 429.47999572753906]",8.0
Money Out,5,//Document/Table[7]/TR[6]/TH/P,"[36.24000549316406, 400.3679962158203, 74.94216918945312, 416.8240051269531]",8.0
0,5,//Document/Table[7]/TR[6]/TD/P,"[576.0, 400.3040008544922, 581.6717681884766, 416.75999450683594]",8.0
Security In,5,//Document/Table[7]/TR[7]/TH/P,"[36.0, 387.8320007324219, 73.48069763183594, 404.2879943847656]",8.0
0,5,//Document/Table[7]/TR[7]/TD/P,"[576.0, 387.8240051269531, 581.6717681884766, 404.2799987792969]",8.0
Security Out,5,//Document/Table[7]/TR[8]/TH/P,"[36.0, 375.20799255371094, 79.334228515625, 391.66400146484375]",8.0
0,5,//Document/Table[7]/TR[8]/TD/P,"[576.0, 375.2239990234375, 581.6717681884766, 391.67999267578125]",8.0
Performance TWR,5,//Document/Table[7]/TR[9]/TH/P,"[36.24000549316406, 349.8240051269531, 104.0, 376.70399475097656]",8.0
279'797,5,//Document/Table[7]/TR[9]/TD/P,"[553.1999969482422, 349.8016052246094, 582.1356658935547, 376.6815948486328]",8.0
1.46%,5,//Document/Table[7]/TR[9]/TD[2]/P,"[708.7200012207031, 349.81689453125, 731.8399963378906, 376.6968994140625]",8.0
Contribution of currencies,5,//Document/Table[7]/TR[10]/TH/P,"[36.343994140625, 347.3840026855469, 124.03205871582031, 363.8399963378906]",8.0
2'329,5,//Document/Table[7]/TR[10]/TD/P,"[562.0800018310547, 347.3536071777344, 582.2109832763672, 363.8096008300781]",8.0
0.01%,5,//Document/Table[7]/TR[10]/TD[2]/P,"[708.4799957275391, 347.32090759277344, 731.6401519775391, 363.7769012451172]",8.0
In Local Currency,5,//Document/Table[7]/TR[11]/TH/P,"[36.24000549316406, 335.03199768066406, 97.31330871582031, 351.4880065917969]",8.0
277'467,5,//Document/Table[7]/TR[11]/TD/P,"[553.6799926757812, 335.089599609375, 582.4368286132812, 351.54559326171875]",8.0
1.45%,5,//Document/Table[7]/TR[11]/TD[2]/P,"[708.7200012207031, 335.02490234375, 732.0771789550781, 351.48089599609375]",8.0
Thereof Earnings,5,//Document/Table[7]/TR[12]/TH/P,"[36.0, 322.9440002441406, 95.80804443359375, 339.3999938964844]",8.0
228'246,5,//Document/Table[7]/TR[12]/TD/P,"[553.6799926757812, 322.89759826660156, 582.3168334960938, 339.3536071777344]",8.0
1.18%,5,//Document/Table[7]/TR[12]/TD[2]/P,"[708.7200012207031, 322.8489074707031, 732.0704650878906, 339.3049011230469]",8.0
8.00% 6.00% 4.00% 2.00% 0.00% -2.00% � � � 1 � � � � � 1 1 � i Ci I Ci Ci Ci Ci Ci Ci I Ci Ci � □ � □ � □ � � □ � □ � S g j S S ° � � g � S � O O O O O � � O O,5,//Document/Figure[5],"[0.0, 0.0, 792.0, 612.0]",6.0
Performance 2024,5,//Document/H1[8],"[30.960006713867188, 76.38949584960938, 106.39324951171875, 82.968505859375]",8.5
8.00% 6.00% 4.00% 2.00% 1----Ł-------146%----------------------l 0.00% -2.00% Lo LO LO LO LO Lo Lo Lo LO LO LO LO Ci Ci Ci Ci Ci i Ci Ci Ci Ci I i □ □ � � □ � □ □ � � □ � i S � j i g � j � j � S 1 LO 00 ° O O � O O □ O O O,5,//Document/Figure[6],"[0.0, 0.0, 792.0, 612.0]",6.0
Performance 2025,5,//Document/P[8],"[384.24000549316406, 76.4093017578125, 459.6009979248047, 82.98829650878906]",8.5
Currency,6,//Document/Table[8]/TR/TH/P,"[36.0, 490.8236999511719, 66.0281982421875, 498.6237030029297]",6.0
Nominal/,6,//Document/Table[8]/TR/TH[2]/P,"[88.32000732421875, 490.8236999511719, 117.24151611328125, 498.6237030029297]",6.0
Quantity,6,//Document/Table[8]/TR/TH[2]/P[2],"[89.67599487304688, 482.9156951904297, 117.23666381835938, 490.7156982421875]",6.0
Description,6,//Document/Table[8]/TR/TH[3]/P,"[121.44000244140625, 490.8236999511719, 158.197509765625, 498.6237030029297]",6.0
Average Acquisition price,6,//Document/Table[8]/TR/TH[4]/P,"[341.0399932861328, 490.8957061767578, 422.3125915527344, 498.69569396972656]",6.0
Average Acquisition FX Rate,6,//Document/Table[8]/TR/TH[4]/P[2],"[332.1540069580078, 483.1437072753906, 422.0369415283203, 490.9436950683594]",6.0
Actual Price,6,//Document/Table[8]/TR/TH[5]/P,"[441.6000061035156, 490.8957061767578, 481.2157897949219, 498.69569396972656]",6.0
Actual Ex. Rate,6,//Document/Table[8]/TR/TH[5]/P[2],"[432.0119934082031, 483.1437072753906, 480.8369445800781, 490.9436950683594]",6.0
Price Date,6,//Document/Table[8]/TR/TH[5]/P[3],"[447.6000061035156, 475.67999267578125, 481.2149200439453, 483.47999572753906]",6.0
PerfYTD,6,//Document/Table[8]/TR/TH[6]/P,"[501.6000061035156, 490.8957061767578, 530.6146240234375, 498.69569396972656]",6.0
PerfTotal,6,//Document/Table[8]/TR/TH[7]/P,"[558.2400054931641, 490.8957061767578, 589.2057952880859, 498.69569396972656]",6.0
Perf Market,6,//Document/Table[8]/TR/TH[7]/P[2],"[552.2339935302734, 483.2637023925781, 589.0140686035156, 491.06370544433594]",6.0
Perf Currency,6,//Document/Table[8]/TR/TH[7]/P[3],"[544.8000030517578, 475.74000549316406, 589.8773040771484, 483.5399932861328]",6.0
Valuation in price currency,6,//Document/Table[8]/TR/TH[8]/P,"[604.0800018310547, 490.8957061767578, 689.1206512451172, 498.69569396972656]",6.0
Thereof accruals,6,//Document/Table[8]/TR/TH[8]/P[2],"[635.0339965820312, 483.3836975097656, 688.4042205810547, 491.18370056152344]",6.0
Countervalue USO,6,//Document/Table[8]/TR/TH[8]/P[3],"[630.2400054931641, 475.67999267578125, 688.6165161132812, 483.47999572753906]",6.0
in% of assets,6,//Document/Table[8]/TR/TH[9]/P,"[700.3139953613281, 483.3836975097656, 729.9264831542969, 498.69569396972656]",6.0
Cash accounts credit,6,//Document/Table[8]/TR[2]/TD/P,"[36.0, 448.39599609375, 114.19685363769531, 475.2760009765625]",8.0
4'195,6,//Document/Table[8]/TR[2]/TD[5]/P,"[668.6376037597656, 446.4331970214844, 689.0534973144531, 453.8731994628906]",8.0
USD,6,//Document/Table[8]/TR[3]/TD/P,"[36.24000549316406, 446.4519958496094, 54.08168029785156, 453.8919982910156]",8.0
4'195.42,6,//Document/Table[8]/TR[3]/TD[2]/P,"[86.6719970703125, 446.26800537109375, 117.185791015625, 453.70799255371094]",8.0
ORDINARY USD,6,//Document/Table[8]/TR[3]/TD[3]/P,"[121.44000244140625, 436.4519958496094, 180.96490478515625, 463.3320007324219]",8.0
Cash Accounts // 366223-CC-0002,6,//Document/Table[8]/TR[3]/TD[3]/P[2],"[121.19999694824219, 437.81199645996094, 244.4958038330078, 445.2519989013672]",8.0
IBAN: CH1908490000366223002,6,//Document/Table[8]/TR[3]/TD[3]/P[3]/Sub,"[121.67999267578125, 429.2359924316406, 235.83116149902344, 436.6759948730469]",8.0
PRC: 1.00,6,//Document/Table[8]/TR[3]/TD[3]/P[3]/Sub[2],"[121.44000244140625, 420.5959930419922, 158.4040985107422, 428.03599548339844]",8.0
0.02%,6,//Document/Table[8]/TR[3]/TD[4]/P,"[707.03759765625, 446.2812042236328, 730.205322265625, 453.72120666503906]",8.0
Fiduciary deposits,6,//Document/Table[8]/TR[4]/TD/P,"[36.24000549316406, 389.4759979248047, 105.10098266601562, 416.3560028076172]",8.0
145'000,6,//Document/Table[8]/TR[4]/TD[5]/P,"[660.9575958251953, 387.3531951904297, 689.6852569580078, 394.79319763183594]",8.0
USD,6,//Document/Table[8]/TR[5]/TD/P,"[36.24000549316406, 387.3240051269531, 54.08168029785156, 394.7640075683594]",8.0
145'000.00,6,//Document/Table[8]/TR[5]/TD[2]/P,"[78.96000671386719, 387.04400634765625, 117.97526550292969, 394.48399353027344]",8.0
"4,27% CORNER BANK LIMITED GG-GY1 2NG ST PETER PORT",6,//Document/Table[8]/TR[5]/TD[3]/P,"[120.96000671386719, 377.2279968261719, 349.0279083251953, 404.1080017089844]",8.0
09/06/2025,6,//Document/Table[8]/TR[5]/TD[3]/P[2],"[121.44000244140625, 368.8520050048828, 161.05230712890625, 395.73199462890625]",8.0
Deposit Account: 04573-20250530,6,//Document/Table[8]/TR[5]/TD[3]/P[3]/Sub,"[121.44000244140625, 369.53199768066406, 239.21669006347656, 376.9720001220703]",8.0
Fixed Fiduciary Deposits,6,//Document/Table[8]/TR[5]/TD[3]/P[3]/Sub[2],"[121.44000244140625, 360.83599853515625, 206.40750122070312, 368.2760009765625]",8.0
PRC: 1.00,6,//Document/Table[8]/TR[5]/TD[3]/P[4],"[121.44000244140625, 352.1959991455078, 158.4722137451172, 359.63600158691406]",8.0
0.75%,6,//Document/Table[8]/TR[5]/TD[4]/P,"[707.03759765625, 387.3291931152344, 730.171875, 394.7691955566406]",8.0
Total Liquidity,6,//Document/Table[8]/TR[7]/TD/P,"[35.75999450683594, 319.947998046875, 89.84811401367188, 346.8280029296875]",8.0
thereof Cash accounts,6,//Document/Table[8]/TR[7]/TD/P[2]/Sub,"[36.24000549316406, 318.53199768066406, 113.68258666992188, 325.79600524902344]",8.0
thereof Fixed deposits and fiduciaries,6,//Document/Table[8]/TR[7]/TD/P[2]/Sub[2],"[36.24000549316406, 309.95599365234375, 163.72796630859375, 317.2200012207031]",8.0
USD 149'195,6,//Document/Table[8]/TR[7]/TD[5]/P,"[601.3656005859375, 319.93719482421875, 689.3171844482422, 346.93719482421875]",8.0
0.77%,6,//Document/Table[8]/TR[7]/TD[6]/P,"[707.03759765625, 319.9691925048828, 730.588134765625, 346.8491973876953]",8.0
USO 4'195,6,//Document/Table[8]/TR[8]/TD[4]/P,"[601.6775970458984, 318.59320068359375, 689.7913055419922, 325.8731994628906]",8.0
0.02%,6,//Document/Table[8]/TR[8]/TD[5]/P,"[707.2776031494141, 318.55320739746094, 730.2888336181641, 325.81719970703125]",8.0
USO 145'000,6,//Document/Table[8]/TR[9]/TD[4]/P,"[601.6775970458984, 309.9931945800781, 689.2664642333984, 317.273193359375]",8.0
0.75%,6,//Document/Table[8]/TR[9]/TD[5]/P,"[707.2776031494141, 310.0572052001953, 730.2841949462891, 317.3211975097656]",8.0
Currency,7,//Document/Table[9]/TR/TH/P,"[36.0, 490.697998046875, 66.05209350585938, 497.16600036621094]",6.0
Nominal/,7,//Document/Table[9]/TR/TH[2]/P,"[88.32000732421875, 490.697998046875, 117.13870239257812, 497.16600036621094]",6.0
Quantity,7,//Document/Table[9]/TR/TH[2]/P[2],"[89.64540100097656, 483.0780029296875, 117.53337097167969, 489.54600524902344]",6.0
Average,7,//Document/Table[9]/TR/TH[3]/P,"[332.1593933105469, 483.0780029296875, 359.0321350097656, 489.54600524902344]",6.0
Description,7,//Document/Table[9]/TR/TH[3]/P[2],"[121.44000244140625, 490.697998046875, 158.35305786132812, 497.16600036621094]",6.0
Average Acquisition price Acquisition FX Rate,7,//Document/Table[9]/TR/TH[4]/P,"[341.0399932861328, 483.0780029296875, 422.6138000488281, 497.2259979248047]",6.0
Actual Price,7,//Document/Table[9]/TR/TH[5]/P,"[441.6000061035156, 490.75799560546875, 481.09210205078125, 497.2259979248047]",6.0
Actual Ex. Rate Price Date,7,//Document/Table[9]/TR/TH[5]/P[2],"[431.7593994140625, 475.4976043701172, 480.98118591308594, 489.54600524902344]",6.0
Perf YTD,7,//Document/Table[9]/TR/TH[6]/P,"[501.6000061035156, 490.75799560546875, 530.4553070068359, 497.2259979248047]",6.0
Perf Total,7,//Document/Table[9]/TR/TH[7]/P,"[558.2400054931641, 490.697998046875, 588.8998565673828, 497.16600036621094]",6.0
Perf Market Perf Currency,7,//Document/Table[9]/TR/TH[7]/P[2],"[544.8000030517578, 475.5155944824219, 589.8802337646484, 489.54600524902344]",6.0
Valuation in price currency,7,//Document/Table[9]/TR/TH[8]/P,"[604.0800018310547, 490.697998046875, 689.3559875488281, 497.16600036621094]",6.0
Thereof accruals Countervalue USO,7,//Document/Table[9]/TR/TH[8]/P[2],"[630.2400054931641, 475.5935974121094, 689.0378570556641, 489.54600524902344]",6.0
in % of assets,7,//Document/Table[9]/TR/TH[9]/P,"[700.3193969726562, 483.0780029296875, 729.7559051513672, 497.2259979248047]",6.0
"Bonds, Bond funds, Convertible bonds, Interest options",7,//Document/Table[9]/TR[2]/TD/P,"[36.47999572753906, 448.45599365234375, 239.38720703125, 475.33599853515625]",8.0
USD,7,//Document/Table[9]/TR[3]/TD/P,"[36.24000549316406, 446.29600524902344, 54.00489807128906, 453.78399658203125]",8.0
200'000,7,//Document/Table[9]/TR[3]/TD[2]/P,"[88.80000305175781, 446.23199462890625, 117.18281555175781, 453.7200012207031]",8.0
TORONTO DOMINION BANK NOTES 23-23.02.27 REG-S VRN,7,//Document/Table[9]/TR[3]/TD[3]/P,"[121.47200012207031, 436.5119934082031, 339.27696228027344, 463.3919982910156]",8.0
ISIN: XS2530201644 II Valorn.: 125350273,7,//Document/Table[9]/TR[3]/TD[3]/P[2],"[121.67999267578125, 437.71600341796875, 272.5764923095703, 445.25599670410156]",8.0
Ordinary Bonds II Maturity: 23.02.2027,7,//Document/Table[9]/TR[3]/TD[3]/P[3],"[121.19999694824219, 429.0760040283203, 257.1280517578125, 436.6280059814453]",8.0
Coupon: 23.8 // Quarterly 3.32% II Days: 7,7,//Document/Table[9]/TR[3]/TD[3]/P[4],"[121.19999694824219, 420.4360046386719, 275.7980194091797, 427.98399353027344]",8.0
Moody's: A2. II PRC: 2.00,7,//Document/Table[9]/TR[3]/TD[3]/P[5],"[121.44000244140625, 411.67539978027344, 211.82394409179688, 419.2834014892578]",8.0
100.2000,7,//Document/Table[9]/TR[3]/TD[4]/P,"[389.3930969238281, 446.2149963378906, 422.9609680175781, 453.7030029296875]",8.0
99.2347,7,//Document/Table[9]/TR[3]/TD[5]/P,"[451.9199981689453, 446.2281951904297, 481.3249053955078, 453.71620178222656]",8.0
29.05.2025,7,//Document/Table[9]/TR[3]/TD[5]/P[2],"[441.6000061035156, 429.26820373535156, 481.1810607910156, 436.7561950683594]",8.0
0.29%,7,//Document/Table[9]/TR[3]/TD[6]/P,"[507.6000061035156, 436.2922058105469, 530.9264221191406, 463.1721954345703]",8.0
-0.96%,7,//Document/Table[9]/TR[3]/TD[7]/P,"[563.7599945068359, 436.3321990966797, 589.5335540771484, 463.2122039794922]",8.0
198'598,7,//Document/Table[9]/TR[3]/TD[8]/P,"[660.9600067138672, 446.2281951904297, 689.4735565185547, 453.71620178222656]",8.0
1.02%,7,//Document/Table[9]/TR[3]/TD[9]/P,"[707.5279998779297, 446.24420166015625, 730.7875213623047, 453.73219299316406]",8.0
129,7,//Document/Table[9]/TR[4]/TD/P,"[675.1199951171875, 437.7642059326172, 689.4383544921875, 445.252197265625]",8.0
USD,7,//Document/Table[9]/TR[7]/TD/P,"[36.24000549316406, 399.37939453125, 54.00489807128906, 406.8674011230469]",8.0
200'000,7,//Document/Table[9]/TR[7]/TD[2]/P,"[89.03999328613281, 399.37939453125, 117.41719055175781, 406.8674011230469]",8.0
CANADIAN IMPERIAL BANK OF COMMERCE NOTES 23-22.08.28,7,//Document/Table[9]/TR[7]/TD[3]/P,"[121.44000244140625, 389.4194030761719, 354.25379943847656, 416.2993927001953]",8.0
VRN,7,//Document/Table[9]/TR[7]/TD[3]/P[2],"[120.96000671386719, 380.72340393066406, 138.8610076904297, 407.6033935546875]",8.0
ISIN: XS2588105036 II Valorn.: 112286204,7,//Document/Table[9]/TR[7]/TD[3]/P[3],"[121.67999267578125, 381.3159942626953, 272.17604064941406, 388.8674011230469]",8.0
Ordinary Bonds II Maturity: 22.02.2028 Coupon: 23.2 II Annual 5.1531% II Days: 96,7,//Document/Table[9]/TR[7]/TD[3]/P[4],"[121.44000244140625, 363.9759979248047, 281.4568328857422, 380.1679992675781]",8.0
PRC: 5.00,7,//Document/Table[9]/TR[7]/TD[3]/P[5],"[121.44000244140625, 355.52000427246094, 158.46414184570312, 363.00799560546875]",8.0
100.2000,7,//Document/Table[9]/TR[7]/TD[4]/P,"[389.52110290527344, 399.3190002441406, 422.77366638183594, 406.8070068359375]",8.0
99.6227,7,//Document/Table[9]/TR[7]/TD[5]/P,"[451.9199981689453, 399.3002014160156, 481.3476104736328, 406.78819274902344]",8.0
29.05.2025,7,//Document/Table[9]/TR[7]/TD[5]/P[2],"[441.6000061035156, 382.26019287109375, 481.1810607910156, 389.7481994628906]",8.0
0.46%,7,//Document/Table[9]/TR[7]/TD[6]/P,"[507.6000061035156, 389.28419494628906, 530.8655090332031, 416.16419982910156]",8.0
-0.58%,7,//Document/Table[9]/TR[7]/TD[7]/P,"[563.7599945068359, 389.4042053222656, 589.4684906005859, 416.28419494628906]",8.0
201'993,7,//Document/Table[9]/TR[7]/TD[8]/P,"[660.4799957275391, 399.3002014160156, 689.0129547119141, 406.78819274902344]",8.0
1.04%,7,//Document/Table[9]/TR[7]/TD[9]/P,"[707.5279998779297, 399.26820373535156, 730.6802215576172, 406.7561950683594]",8.0
2'748,7,//Document/Table[9]/TR[8]/TD/P,"[668.8800048828125, 390.7241973876953, 689.0078125, 398.2122039794922]",8.0
USD,7,//Document/Table[9]/TR[10]/TD/P,"[36.24000549316406, 343.0959930419922, 54.00489807128906, 350.58399963378906]",8.0
1'500'000,7,//Document/Table[9]/TR[10]/TD[2]/P,"[83.66400146484375, 343.0240020751953, 117.84832763671875, 350.5119934082031]",8.0
"HARP ISSUER (4% MIN/5,5% MAX) NOTES 2023-18.09.2028",7,//Document/Table[9]/TR[10]/TD[3]/P,"[121.44000244140625, 333.1759948730469, 333.8822784423828, 360.0559997558594]",8.0
SE.195,7,//Document/Table[9]/TR[10]/TD[3]/P[2],"[121.39999389648438, 324.79200744628906, 148.15402221679688, 351.6719970703125]",8.0
ISIN: XS2665592833 II Valorn.: 128829182,7,//Document/Table[9]/TR[10]/TD[3]/P[3],"[121.67999267578125, 325.156005859375, 272.6480255126953, 332.6959991455078]",8.0
Ordinary Bonds II Maturity: 18.09.2028,7,//Document/Table[9]/TR[10]/TD[3]/P[4],"[121.44000244140625, 316.51600646972656, 257.7419128417969, 324.1239929199219]",8.0
Coupon: 18.9 II Annual 4% II Days: 252,7,//Document/Table[9]/TR[10]/TD[3]/P[5],"[121.19999694824219, 307.8760070800781, 266.3233642578125, 315.4239959716797]",8.0
PRC: 5.00,7,//Document/Table[9]/TR[10]/TD[3]/P[6],"[121.44000244140625, 299.17999267578125, 158.40396118164062, 306.6679992675781]",8.0
99.0990,7,//Document/Table[9]/TR[10]/TD[4]/P,"[393.12109375, 342.9750061035156, 422.333984375, 350.46299743652344]",8.0
99.2100,7,//Document/Table[9]/TR[10]/TD[5]/P,"[452.1199951171875, 343.02020263671875, 481.142578125, 350.50819396972656]",8.0
30.05.2025,7,//Document/Table[9]/TR[10]/TD[5]/P[2],"[441.6000061035156, 326.0281982421875, 481.3097229003906, 333.5162048339844]",8.0
2.35%,7,//Document/Table[9]/TR[10]/TD[6]/P,"[507.4960021972656, 333.11619567871094, 530.6210021972656, 359.99620056152344]",8.0
0.11%,7,//Document/Table[9]/TR[10]/TD[7]/P,"[566.1600036621094, 333.1721954345703, 589.4589538574219, 360.0522003173828]",8.0
1'530'150,7,//Document/Table[9]/TR[10]/TD[8]/P,"[655.1999969482422, 342.9882049560547, 689.7120819091797, 350.4761962890625]",8.0
7.87%,7,//Document/Table[9]/TR[10]/TD[9]/P,"[707.0480041503906, 343.04420471191406, 730.2014465332031, 350.5321960449219]",8.0
42'000,7,//Document/Table[9]/TR[11]/TD/P,"[664.4720001220703, 334.61219787597656, 688.8256378173828, 342.10020446777344]",8.0
USD,7,//Document/Table[9]/TR[13]/TD/P,"[36.24000549316406, 286.8760070800781, 54.00489807128906, 294.36399841308594]",8.0
690'000,7,//Document/Table[9]/TR[13]/TD[2]/P,"[88.88800048828125, 286.81199645996094, 117.40179443359375, 294.3000030517578]",8.0
GOLDMAN SACHS 0% NOTES 23-07.11.29 SERIES P,7,//Document/Table[9]/TR[13]/TD[3]/P,"[121.53599548339844, 276.8560028076172, 310.08082580566406, 303.79600524902344]",8.0
ISIN: XS2692298537 II Valorn.: 129157183 Ordinary Bonds II Maturity: 07.11.2029,7,//Document/Table[9]/TR[13]/TD[3]/P[2],"[121.19999694824219, 269.4759979248047, 272.6005401611328, 285.66400146484375]",8.0
YTM: -1.73 // PRC: 5.00,7,//Document/Table[9]/TR[13]/TD[3]/P[3],"[120.96000671386719, 260.68800354003906, 208.58799743652344, 268.1759948730469]",8.0
100.1000,7,//Document/Table[9]/TR[13]/TD[4]/P,"[389.52110290527344, 286.81500244140625, 422.76914978027344, 294.30299377441406]",8.0
108.0700,7,//Document/Table[9]/TR[13]/TD[5]/P/Sub,"[448.32000732421875, 286.7241973876953, 481.85015869140625, 294.2122039794922]",8.0
30.05.2025,7,//Document/Table[9]/TR[13]/TD[5]/P/Sub[2],"[441.6000061035156, 269.6761932373047, 481.3097229003906, 277.16419982910156]",8.0
3.36%,7,//Document/Table[9]/TR[13]/TD[6]/P,"[507.6000061035156, 276.7642059326172, 530.8943176269531, 303.6441955566406]",8.0
7.96%,7,//Document/Table[9]/TR[13]/TD[7]/P,"[566.1600036621094, 276.7642059326172, 589.4432067871094, 303.6441955566406]",8.0
745'683,7,//Document/Table[9]/TR[13]/TD[8]/P,"[660.4799957275391, 286.7801971435547, 689.1566314697266, 294.26820373535156]",8.0
3.83%,7,//Document/Table[9]/TR[13]/TD[9]/P,"[707.0480041503906, 286.7082061767578, 730.2031555175781, 294.1961975097656]",8.0
USD,7,//Document/Table[9]/TR[16]/TD/P,"[36.24000549316406, 248.53599548339844, 54.00489807128906, 256.0240020751953]",8.0
100'000,7,//Document/Table[9]/TR[16]/TD[2]/P,"[89.27999877929688, 248.4720001220703, 117.73263549804688, 255.9600067138672]",8.0
LUMINIS (4.2 % MIN/5.5 % MAX) NOTES 2024-17.01.30,7,//Document/Table[9]/TR[16]/TD[3]/P,"[121.44000244140625, 238.58399963378906, 315.91156005859375, 265.4698028564453]",8.0
ISIN: XS2754416860 II Valorn.: 132648671,7,//Document/Table[9]/TR[16]/TD[3]/P[2],"[121.67999267578125, 239.86000061035156, 272.6955108642578, 247.4080047607422]",8.0
Ordinary Bonds II Maturity: 17.01.2030 Coupon: 17.1 II Annual 5.238% II Days: 133,7,//Document/Table[9]/TR[16]/TD[3]/P[3],"[121.44000244140625, 222.43600463867188, 281.75537109375, 238.7292938232422]",8.0
PRC: 5.00,7,//Document/Table[9]/TR[16]/TD[3]/P[4],"[121.44000244140625, 213.97999572753906, 158.42373657226562, 221.46800231933594]",8.0
100.2000,7,//Document/Table[9]/TR[16]/TD[4]/P,"[389.52110290527344, 248.4550018310547, 422.75828552246094, 255.9429931640625]",8.0
96.9000,7,//Document/Table[9]/TR[16]/TD[5]/P,"[452.0480041503906, 248.3802032470703, 481.2369689941406, 255.86819458007812]",8.0
30.05.2025,7,//Document/Table[9]/TR[16]/TD[5]/P[2],"[441.75999450683594, 231.3321990966797, 481.06419372558594, 238.82020568847656]",8.0
0.91%,7,//Document/Table[9]/TR[16]/TD[6]/P,"[507.6000061035156, 238.5001983642578, 530.8945617675781, 265.3802032470703]",8.0
-3.29%,7,//Document/Table[9]/TR[16]/TD[7]/P,"[563.7599945068359, 238.4761962890625, 589.5654144287109, 265.356201171875]",8.0
98'835,7,//Document/Table[9]/TR[16]/TD[8]/P,"[664.6320037841797, 248.4362030029297, 689.3334197998047, 255.9241943359375]",8.0
0.51%,7,//Document/Table[9]/TR[16]/TD[9]/P,"[707.0480041503906, 248.44419860839844, 730.1310119628906, 255.9322052001953]",8.0
1'935,7,//Document/Table[9]/TR[17]/TD/P,"[669.3600006103516, 239.81219482421875, 689.4205474853516, 247.30020141601562]",8.0
USD,7,//Document/Table[9]/TR[20]/TD/P,"[36.24000549316406, 201.43600463867188, 54.00489807128906, 208.9239959716797]",8.0
